== exp18: warm fast-path phase breakdown (p50 ms, n=50 per cell) ==
phases: ipc_fork (daemon recv->fork done) | setup (fd/signal/cwd/env) |
        dispatch (fresh __main__ scaffolding) | user_code | exit (atexit+flush)

command              arm       ipc+fork   setup dispatch     user   exit child_tot     wall
trivial              forkonly      0.20    0.57     1.10     0.11   0.03      1.81     4.68

trivial              full          0.25    0.53     0.09     0.11   0.04      0.77     3.92
                     cold                                                    9.30   -> warm/cold wall: forkonly 0.50x full 0.42x


small-import         forkonly      0.21    0.58     1.09     1.50   0.03      3.20     6.11

small-import         full          0.30    0.52     0.09     0.17   0.04      0.82     4.19
                     cold                                                   19.89   -> warm/cold wall: forkonly 0.31x full 0.21x


unittest-discover    forkonly      0.23    0.59     1.15     7.45   0.03      9.24    12.50

unittest-discover    full          0.36    0.55     0.10     4.16   0.04      4.85     8.76
                     cold                                                   35.63   -> warm/cold wall: forkonly 0.35x full 0.25x


script               forkonly      0.25    0.62     1.16     5.79   0.04      7.66    11.00

script               full          0.32    0.53     0.10     0.42   0.05      1.10     4.68
                     cold                                                   30.95   -> warm/cold wall: forkonly 0.36x full 0.15x


import-heavy         forkonly      0.25    0.61     1.17    10.10   0.04     11.97    15.60

import-heavy         full          0.27    0.52     0.09     0.23   0.04      0.89     4.24
                     cold                                                   39.37   -> warm/cold wall: forkonly 0.40x full 0.11x

